date;pmer;tend;cod_tend;dd;ff;td;u;ww;pres;rafper;rr1;rr3;tc
2010-01-01T01:00:00+01:00;99080.0;-120.0;6.0;0.0;0.0;278.75;88.0;60.0;96250.0;4.1;0.0;0.0;7.5
2010-01-01T04:00:00+01:00;98940.0;-150.0;6.0;60.0;1.0;278.65;93.0;61.0;96100.0;2.6;0.2;0.6;6.600000000000023
2010-01-01T07:00:00+01:00;98950.0;10.0;3.0;280.0;2.1;278.85;95.0;58.0;96110.0;2.6;0.0;0.4;6.400000000000034
2010-01-01T10:00:00+01:00;99180.0;230.0;3.0;310.0;2.6;279.15;96.0;50.0;96340.0;5.7;0.0;3.0;6.600000000000023
2010-01-01T13:00:00+01:00;99480.0;280.0;1.0;330.0;4.6;278.15;94.0;21.0;96620.0;8.7;0.4;0.8;5.900000000000034
2010-01-01T16:00:00+01:00;99980.0;480.0;3.0;350.0;5.1;276.95;91.0;60.0;97100.0;8.2;0.2;0.4;5.2000000000000455
2010-01-01T19:00:00+01:00;100550.0;530.0;2.0;350.0;3.1;274.05;83.0;21.0;97630.0;7.2;0.0;0.0;3.5
2010-01-01T22:00:00+01:00;101030.0;450.0;2.0;340.0;6.2;272.15;81.0;2.0;98080.0;9.3;0.0;0.0;1.900000000000034
2010-01-02T01:00:00+01:00;101330.0;280.0;1.0;320.0;6.2;270.15;74.0;2.0;98360.0;10.3;0.0;0.0;1.1000000000000227
2010-01-02T04:00:00+01:00;101560.0;220.0;1.0;290.0;2.6;269.65;72.0;2.0;98580.0;5.1;0.0;0.0;1.0
2010-01-02T07:00:00+01:00;101660.0;100.0;1.0;350.0;3.1;270.45;79.0;2.0;98680.0;4.1;0.0;0.0;0.5
2010-01-02T10:00:00+01:00;101980.0;300.0;3.0;350.0;5.1;268.55;70.0;2.0;98980.0;6.7;0.0;0.0;-0.2999999999999545
2010-01-02T13:00:00+01:00;102100.0;130.0;1.0;10.0;4.6;267.45;60.0;2.0;99110.0;7.7;0.0;0.0;1.2000000000000457
2010-01-02T16:00:00+01:00;102250.0;150.0;3.0;10.0;5.7;267.45;59.0;2.0;99260.0;8.7;0.0;0.0;1.5
2010-01-02T19:00:00+01:00;102420.0;140.0;1.0;50.0;2.6;268.15;70.0;2.0;99400.0;5.7;0.0;0.0;-0.7999999999999545
2010-01-02T22:00:00+01:00;102420.0;-20.0;5.0;280.0;1.0;267.85;79.0;2.0;99380.0;1.5;0.0;0.0;-2.5
2010-01-03T01:00:00+01:00;102450.0;20.0;1.0;270.0;1.5;267.85;83.0;2.0;99400.0;1.5;0.0;0.0;-3.099999999999966
2010-01-03T04:00:00+01:00;102380.0;-80.0;8.0;140.0;1.0;267.05;83.0;2.0;99320.0;3.1;0.0;0.0;-3.899999999999977
2010-01-03T07:00:00+01:00;102230.0;-130.0;7.0;160.0;1.0;267.65;82.0;2.0;99190.0;2.6;0.0;0.0;-3.1999999999999886
2010-01-03T10:00:00+01:00;102270.0;40.0;1.0;0.0;0.0;268.55;87.0;2.0;99230.0;2.1;0.0;0.0;-3.0
2010-01-03T13:00:00+01:00;102180.0;-60.0;8.0;0.0;0.0;267.05;63.0;2.0;99170.0;2.1;0.0;0.0;-0.6999999999999886
2010-01-03T16:00:00+01:00;102050.0;-130.0;6.0;40.0;1.0;267.95;67.0;2.0;99040.0;3.1;0.0;0.0;-0.3999999999999772
2010-01-03T19:00:00+01:00;101950.0;-100.0;5.0;30.0;2.1;268.35;71.0;2.0;98940.0;3.1;0.0;0.0;-0.6999999999999886
2010-01-03T22:00:00+01:00;101860.0;-90.0;7.0;120.0;3.1;269.35;78.0;71.0;98850.0;6.7;0.0;0.0;-0.8999999999999773
2010-01-04T01:00:00+01:00;101710.0;-140.0;7.0;110.0;1.5;270.95;92.0;71.0;98710.0;2.6;1.0;2.0;-1.1999999999999886
2010-01-04T04:00:00+01:00;101620.0;-100.0;6.0;10.0;1.5;270.75;94.0;73.0;98610.0;3.1;2.0;6.0;-1.6999999999999886
2010-01-04T07:00:00+01:00;101570.0;-50.0;6.0;350.0;2.1;270.55;95.0;71.0;98560.0;2.6;0.2;2.0;-2.0
2010-01-04T10:00:00+01:00;101600.0;30.0;3.0;350.0;2.6;270.65;95.0;71.0;98590.0;3.1;0.0;0.6;-1.8999999999999773
2010-01-04T13:00:00+01:00;101440.0;-150.0;8.0;350.0;2.1;270.25;90.0;70.0;98440.0;4.1;0.0;0.2;-1.599999999999966
2010-01-04T16:00:00+01:00;101370.0;-80.0;6.0;350.0;2.6;269.55;91.0;70.0;98360.0;3.6;0.2;0.2;-2.5
2010-01-04T19:00:00+01:00;101340.0;-40.0;6.0;360.0;3.6;268.95;92.0;71.0;98320.0;4.6;0.0;0.0;-3.1999999999999886
2010-01-04T22:00:00+01:00;101290.0;-40.0;5.0;310.0;1.5;269.35;94.0;22.0;98280.0;3.1;0.0;0.6;-3.099999999999966
2010-01-05T01:00:00+01:00;101150.0;-140.0;8.0;340.0;2.1;269.25;93.0;70.0;98140.0;3.1;0.0;0.0;-3.099999999999966
2010-01-05T04:00:00+01:00;100950.0;-200.0;6.0;340.0;2.1;268.65;92.0;70.0;97940.0;3.1;0.0;0.4;-3.5
2010-01-05T07:00:00+01:00;100770.0;-170.0;7.0;350.0;2.1;268.65;93.0;10.0;97770.0;3.1;0.0;0.4;-3.6999999999999886
2010-01-05T10:00:00+01:00;100660.0;-110.0;6.0;350.0;2.1;268.55;92.0;70.0;97660.0;3.6;0.4;0.8;-3.599999999999966
2010-01-05T13:00:00+01:00;100450.0;-190.0;8.0;10.0;1.5;268.65;84.0;1.0;97470.0;3.1;0.0;0.2;-2.5
2010-01-05T16:00:00+01:00;100300.0;-140.0;6.0;10.0;1.5;268.95;82.0;2.0;97330.0;3.1;0.0;0.0;-1.8999999999999773
2010-01-05T19:00:00+01:00;100320.0;10.0;3.0;350.0;1.5;268.85;87.0;2.0;97340.0;2.1;0.0;0.0;-2.599999999999966
2010-01-05T22:00:00+01:00;100270.0;-50.0;5.0;330.0;2.6;269.25;89.0;10.0;97290.0;3.1;0.0;0.0;-2.5
2010-01-06T01:00:00+01:00;100340.0;70.0;3.0;340.0;1.5;269.45;91.0;71.0;97360.0;3.6;0.2;0.2;-2.599999999999966
2010-01-06T04:00:00+01:00;100380.0;40.0;0.0;0.0;0.0;269.75;93.0;10.0;97400.0;1.5;0.0;0.2;-2.599999999999966
2010-01-06T07:00:00+01:00;100400.0;20.0;3.0;0.0;0.0;269.25;92.0;10.0;97420.0;1.5;0.0;0.0;-2.8999999999999773
2010-01-06T10:00:00+01:00;100470.0;70.0;3.0;300.0;0.5;269.55;91.0;10.0;97490.0;2.1;0.0;0.0;-2.5
2010-01-06T13:00:00+01:00;100460.0;10.0;0.0;0.0;0.0;269.75;80.0;10.0;97500.0;1.5;0.0;0.0;-0.6999999999999886
2010-01-06T16:00:00+01:00;100460.0;10.0;3.0;130.0;2.1;269.45;75.0;10.0;97510.0;6.2;0.0;0.0;0.2000000000000454
2010-01-06T19:00:00+01:00;100570.0;90.0;3.0;160.0;1.5;268.95;76.0;2.0;97600.0;3.6;0.0;0.0;-1.0
